idiom,part_of_speech,word_url
110 proof,adjective,https://en.wiktionary.org/wiki/110_proof#English
11 Downing Street,proper noun,https://en.wiktionary.org/wiki/11_Downing_Street#English
11th commandment,noun,https://en.wiktionary.org/wiki/11th_commandment#English
12-ounce curls,noun,https://en.wiktionary.org/wiki/12-ounce_curls#English
15 minutes of fame,noun,https://en.wiktionary.org/wiki/15_minutes_of_fame#English
1600 Pennsylvania Avenue,proper noun,https://en.wiktionary.org/wiki/1600_Pennsylvania_Avenue#English
23 skidoo,phrase,https://en.wiktionary.org/wiki/23_skidoo#English
23 Skidoo Street,proper noun,https://en.wiktionary.org/wiki/23_Skidoo_Street#English
3-on-the-tree,noun,https://en.wiktionary.org/wiki/3-on-the-tree#English
800-pound gorilla,noun,https://en.wiktionary.org/wiki/800-pound_gorilla#English
a bridge too far,noun,https://en.wiktionary.org/wiki/a_bridge_too_far#English
a little of something goes a long way,phrase,https://en.wiktionary.org/wiki/a_little_of_something_goes_a_long_way#English
a pound to a penny,adverb,https://en.wiktionary.org/wiki/a_pound_to_a_penny#English
a Roland for an Oliver,noun,https://en.wiktionary.org/wiki/a_Roland_for_an_Oliver#English
a week from next Tuesday,phrase,https://en.wiktionary.org/wiki/a_week_from_next_Tuesday#English
a week is a long time in politics,phrase,https://en.wiktionary.org/wiki/a_week_is_a_long_time_in_politics#English
a wild goose never laid a tame egg,proverb,https://en.wiktionary.org/wiki/a_wild_goose_never_laid_a_tame_egg#English
Abbot's Priory,proper noun,https://en.wiktionary.org/wiki/Abbot's_Priory#English
about time,adverb,https://en.wiktionary.org/wiki/about_time#English
about to,phrase,https://en.wiktionary.org/wiki/about_to#English
about turn,noun,https://en.wiktionary.org/wiki/about_turn#English
above one's huckleberry,prepositional phrase,https://en.wiktionary.org/wiki/above_one's_huckleberry#English
above par,prepositional phrase,https://en.wiktionary.org/wiki/above_par#English
above the curve,prepositional phrase,https://en.wiktionary.org/wiki/above_the_curve#English
above the fray,prepositional phrase,https://en.wiktionary.org/wiki/above_the_fray#English
above board,prepositional phrase,https://en.wiktionary.org/wiki/above_board#English
above one's bend,prepositional phrase,https://en.wiktionary.org/wiki/above_one's_bend#English
above the law,prepositional phrase,https://en.wiktionary.org/wiki/above_the_law#English
above the salt,prepositional phrase,https://en.wiktionary.org/wiki/above_the_salt#English
above water,prepositional phrase,https://en.wiktionary.org/wiki/above_water#English
absence makes the heart grow fonder,proverb,https://en.wiktionary.org/wiki/absence_makes_the_heart_grow_fonder#English
abuse of distress,noun,https://en.wiktionary.org/wiki/abuse_of_distress#English
accident of birth,noun,https://en.wiktionary.org/wiki/accident_of_birth#English
accident waiting to happen,noun,https://en.wiktionary.org/wiki/accident_waiting_to_happen#English
according to Cocker,prepositional phrase,https://en.wiktionary.org/wiki/according_to_Cocker#English
according to Gunter,prepositional phrase,https://en.wiktionary.org/wiki/according_to_Gunter#English
according to Hoyle,prepositional phrase,https://en.wiktionary.org/wiki/according_to_Hoyle#English
ace in the hole,noun,https://en.wiktionary.org/wiki/ace_in_the_hole#English
ace up one's sleeve,noun,https://en.wiktionary.org/wiki/ace_up_one's_sleeve#English
acknowledge the corn,verb,https://en.wiktionary.org/wiki/acknowledge_the_corn#English
